date,views,unique_views,clones,unique_clones
2026-07-18,0,0,6,3
2026-07-19,0,0,0,0
2026-07-20,0,0,9,6
2026-07-21,0,0,15,11
2026-07-22,1,1,2,2
2026-07-23,7,2,8,5
2026-07-24,0,0,11,7
2026-07-25,0,0,4,3
2026-07-26,0,0,14,11
2026-07-27,2,1,14,11
2026-07-28,2,1,8,4
2026-07-29,7,1,7,7
2026-07-30,7,1,16,8
2026-07-31,20,1,16,10
2026-08-01,12,1,20,12
2026-08-02,0,0,2,2
2026-08-03,8,1,10,6
2026-08-04,0,0,15,8
2026-08-05,0,0,14,9
2026-08-06,2,1,8,7
2026-08-07,19,4,2,2
2026-08-08,4,1,33,18
2026-08-09,0,0,1,1
2026-08-10,0,0,1,1
2026-08-11,0,0,19,12
2026-08-12,0,0,2,2
2026-08-13,0,0,7,4
2026-08-14,0,0,2,2
2026-08-15,4,1,8,5
2026-08-16,2,1,0,0
2026-08-17,0,0,0,0
2026-08-18,0,0,0,0
2026-08-19,0,0,1,1
2026-08-20,0,0,0,0
2026-08-21,0,0,2,2
2026-08-22,0,0,7,6
2026-08-23,0,0,0,0
2026-08-24,0,0,1,1
2026-08-25,0,0,15,9
2026-08-26,0,0,4,3
2026-08-27,0,0,4,4
2026-08-28,0,0,0,0
2026-08-29,2,1,9,6
2026-08-30,0,0,3,3
