commodity,total value sold,total qty sold,total kg sold,qty available,market,date_scraped,total value sold mtd,total qty sold mtd,total kg sold mtd
BABY BUTTERNUT,1044.0,6.0,26.0,7,Joburg Market,2026-07-10,55669.0,272.0,1230.0
BABY BUTTERNUT,1044.0,6.0,26.0,7,Joburg Market,2026-07-11,55669.0,272.0,1230.0
BABY BUTTERNUT,1308.0,8.0,33.0,11,Joburg Market,2026-07-13,61881.0,311.0,1391.0
BABY BUTTERNUT,1308.0,8.0,33.0,11,Joburg Market,2026-07-14,61881.0,311.0,1391.0
BABY BUTTERNUT,0.0,0.0,0.0,3,Joburg Market,2026-07-15,1380.0,15.0,45.0
BABY BUTTERNUT,1968.0,10.0,44.0,3,Joburg Market,2026-07-18,72111.0,367.0,1625.0
BABY BUTTERNUT,240.0,3.0,9.0,3,Joburg Market,2026-07-20,1620.0,18.0,54.0
BABY BUTTERNUT,240.0,3.0,9.0,3,Joburg Market,2026-07-21,1620.0,18.0,54.0
BABY BUTTERNUT,7796.0,34.0,155.0,0,Joburg Market,2026-07-23,86983.0,425.0,1911.0
BABY BUTTERNUT,-192.0,-1.0,-4.0,1,Joburg Market,2026-07-24,86791.0,424.0,1907.0
BABY BUTTERNUT,4496.0,19.0,86.0,1,Joburg Market,2026-07-25,91287.0,443.0,1993.0
BABY BUTTERNUT,0.0,0.0,0.0,1,Joburg Market,2026-07-27,91287.0,443.0,1993.0
BABY BUTTERNUT,12240.0,42.0,187.0,4,Joburg Market,2026-07-28,103527.0,485.0,2180.0
BABY BUTTERNUT,520.0,2.0,8.0,0,Joburg Market,2026-07-29,104047.0,487.0,2188.0
BABY BUTTERNUT,7104.0,24.0,112.0,2,Joburg Market,2026-07-30,111151.0,511.0,2299.0
BABY CABBAGE,10414.0,112.0,375.0,253,Joburg Market,2026-07-09,73438.0,512.0,2153.0
BABY CABBAGE,10538.0,148.0,562.0,136,Joburg Market,2026-07-10,83976.0,660.0,2715.0
BABY CABBAGE,10538.0,148.0,562.0,136,Joburg Market,2026-07-11,83976.0,660.0,2715.0
BABY CABBAGE,4700.0,51.0,238.0,134,Joburg Market,2026-07-13,91872.0,729.0,3033.0
BABY CABBAGE,4700.0,51.0,238.0,134,Joburg Market,2026-07-14,91872.0,729.0,3033.0
BABY CABBAGE,7978.0,69.0,279.0,184,Joburg Market,2026-07-15,115140.0,889.0,3734.0
BABY CABBAGE,7754.0,89.0,221.0,136,Joburg Market,2026-07-18,132688.0,1053.0,4320.0
BABY CABBAGE,1032.0,7.0,28.0,188,Joburg Market,2026-07-20,136288.0,1083.0,4437.0
BABY CABBAGE,1032.0,7.0,28.0,188,Joburg Market,2026-07-21,136288.0,1083.0,4437.0
BABY CABBAGE,5524.0,40.0,155.0,239,Joburg Market,2026-07-23,162208.0,1246.0,5126.0
